x> y^ xi yf
Sample	Amplitude
264	0.960137546
265	0.960118115
266	0.960098624
267	0.960079193
268	0.960059702
269	0.960040271
270	0.960020781
271	0.960001349
272	0.959981859
273	0.959962428
274	0.959942937
275	0.959923506
276	0.959904015
277	0.959884584
278	0.959865153
279	0.959845662
280	0.959826231
281	0.95980674
282	0.959787309
283	0.959767818
284	0.959748387
285	0.959728897
286	0.959709466
287	0.959689975
288	0.959670544
289	0.959651053
290	0.959631622
291	0.959612131
292	0.9595927
293	0.959573209
294	0.959553778
295	0.959534287
296	0.959514856
297	0.959495425
298	0.959475935
299	0.959456503
300	0.959437013
301	0.959417582
302	0.959398091
303	0.95937866
304	0.959359169
305	0.959339738
306	0.959320247
307	0.959300816
308	0.959281325
309	0.959261894
310	0.959242404
311	0.959222972
312	0.959203482
313	0.959184051
314	0.95916456
315	0.959145129
316	0.959125698
317	0.959106207
318	0.959086776
319	0.959067285
320	0.959047854
321	0.959028363
322	0.959008932
323	0.958989441
324	0.95897001
325	0.95895052
326	0.958931088
327	0.958911598
328	0.958892167
329	0.958872676
330	0.958853245
331	0.958833754
332	0.958814323
333	0.958794832
334	0.958775401
335	0.95875597
336	0.958736479
337	0.958717048
338	0.958697557
339	0.958678126
340	0.958658636
341	0.958639205
342	0.958619714
343	0.958600283
344	0.958580792
345	0.958561361
346	0.95854187
347	0.958522439
348	0.958502948
349	0.958483517
350	0.958464026
351	0.958444595
352	0.958425105
353	0.958405674
354	0.958392739
355	0.958379745
356	0.958366811
357	0.958353817
358	0.958340883
359	0.958327949
360	0.958314955
361	0.958302021
362	0.958289027
363	0.958276093
364	0.958263159
365	0.958250165
366	0.958237231
367	0.958224297
368	0.958211303
369	0.958198369
370	0.958185375
371	0.958172441
372	0.958159506
373	0.958146513
374	0.958133578
375	0.958120584
376	0.95810765
377	0.958094716
378	0.958081722
379	0.958068788
380	0.958055794
381	0.95804286
382	0.958029926
383	0.958016932
384	0.958003998
385	0.957991004
386	0.95797807
387	0.957965136
388	0.957952142
389	0.957939208
390	0.957926214
391	0.95791328
392	0.957900345
393	0.957887352
394	0.957874417
395	0.957861483
396	0.957848489
397	0.957835555
398	0.957822561
399	0.957809627
400	0.957796693
401	0.957783699
402	0.957770765
403	0.957757771
404	0.957744837
405	0.957731903
406	0.957718909
407	0.957705975
408	0.957692981
409	0.957680047
410	0.957667112
411	0.957654119
412	0.957641184
413	0.957628191
414	0.957615256
415	0.957602322
416	0.957589328
417	0.957576394
418	0.9575634
419	0.957550466
420	0.957537532
421	0.957524538
422	0.957511604
423	0.95749867
424	0.957485676
425	0.957472742
426	0.957459748
427	0.957446814
428	0.957433879
429	0.957420886
430	0.957407951
431	0.957394958
432	0.957382023
433	0.957369089
434	0.957356095
435	0.957343161
436	0.957330167
437	0.957317233
438	0.957304299
439	0.957291305
440	0.957278371
441	0.957265377
442	0.957252443
443	0.957239509
444	0.957226515
445	0.957213581
446	0.957200587
447	0.957187653
448	0.957174718
449	0.957161725
450	0.95714879
451	0.957135856
452	0.957122862
453	0.957109928
454	0.957096934
455	0.957084
456	0.957071066
457	0.957058072
458	0.957045138
459	0.957032144
460	0.95701921
461	0.957006276
462	0.956993282
463	0.956980348
464	0.956967354
465	0.95695442
466	0.956941485
467	0.956928492
468	0.956915557
469	0.956902564
470	0.956889629
471	0.956876695
472	0.956863701
473	0.956850767
474	0.956837833
475	0.956824839
476	0.956811905
477	0.956798911
478	0.956785977
479	0.956773043
480	0.956760049
481	0.956747115
482	0.956734121
483	0.956721187
484	0.956708252
485	0.956695259
486	0.956682324
487	0.956669331
488	0.956656396
489	0.956643462
490	0.956630468
491	0.956617534
492	0.95660454
493	0.956591606
494	0.956578672
495	0.956565678
496	0.956552744
497	0.95653975
498	0.956526816
499	0.956513882
500	0.956500888
501	0.956487954
502	0.956475019
503	0.956462026
504	0.956449091
505	0.956436098
506	0.956423163
507	0.956410229
508	0.956397235
509	0.956384301
510	0.956371307
511	0.956358373
512	0.956345439
513	0.956332445
514	0.956319511
515	0.956306517
516	0.956293583
517	0.956280649
518	0.956267655
519	0.956254721
520	0.956241727
521	0.956228793
522	0.956215858
523	0.956202865
524	0.95618993
525	0.956176937
526	0.956164002
527	0.956151068
528	0.956138074
529	0.95612514
530	0.956112206
531	0.956099212
532	0.956086278
533	0.956073284
534	0.95606035
535	0.956047416
536	0.956034422
537	0.956021488
538	0.956008494
539	0.95599556
540	0.955982625
541	0.955969632
542	0.955956697
543	0.955943704
544	0.955930769
545	0.955917835
546	0.955904841
547	0.955891907
548	0.955878913
549	0.955865979
550	0.955853045
551	0.955840051
552	0.955827117
553	0.955814123
554	0.955801189
555	0.955788255
556	0.955775261
557	0.955762327
558	0.955749393
559	0.955736399
560	0.955723464
561	0.955710471
562	0.955697536
563	0.955684602
564	0.955671608
565	0.955658674
566	0.95564568
567	0.955632746
568	0.955619752
569	0.955606699
570	0.955593705
571	0.955580652
572	0.955567658
573	0.955554664
574	0.955541611
575	0.955528617
576	0.955515563
577	0.95550257
578	0.955489516
579	0.955476522
580	0.955463529
581	0.955450475
582	0.955437481
583	0.955424428
584	0.955411434
585	0.95539844
586	0.955385387
587	0.955372393
588	0.95535934
589	0.955346346
590	0.955333292
591	0.955320299
592	0.955307305
593	0.955294251
594	0.955281258
595	0.955268204
596	0.95525521
597	0.955242217
598	0.955229163
599	0.955216169
600	0.955203116
601	0.955190122
602	0.955177069
603	0.955164075
604	0.955151081
605	0.955138028
606	0.955125034
607	0.95511198
608	0.955098987
609	0.955085993
610	0.955072939
611	0.955059946
612	0.955046892
613	0.955033898
614	0.955020845
615	0.955007851
616	0.954994857
617	0.954981804
618	0.95496881
619	0.954955757
620	0.954942763
621	0.954929769
622	0.954916716
623	0.954903722
624	0.954890668
625	0.954877675
626	0.954864621
627	0.954851627
628	0.954838634
629	0.95482558
630	0.954812586
631	0.954799533
632	0.954786539
633	0.954773545
634	0.954760492
635	0.954747498
636	0.954734445
637	0.954721451
638	0.954708457
639	0.954695404
640	0.95468241
641	0.954669356
642	0.954656363
643	0.954643309
644	0.954630315
645	0.954617321
